vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
AMIDATA S.A,893-8473,,,U,"Valvula de solenoide SMC VXZ242GLK, 2 puertos , 230 V ac, 1/2plg",140.8,2019-04-09,1,140.8
"FARNELL COMPONENTS, SL",1209726,,,U,"Mando, Mando Redondo, 6.4 mm, Termoplastico, Redondo con Puntero, 21 mm",5.62,2019-04-02,2,11.24
"FARNELL COMPONENTS, SL",1190400,,,U,"Interruptor Giratorio, 6 Posiciones, 2 Polos, 30 °, 300 mA, 115 V, Serie 71",13.73,2019-04-02,2,27.46
"FARNELL COMPONENTS, SL",1190378,,,U,"Interruptor Giratorio, 6 Posiciones, 2 Polos, 30 °, 200 mA, 115 V, Serie 56",12.78,2019-04-02,2,25.56
"LYRECO ESPAÑA, S.A.",60131,,,CAIXA,CAJA 100 FUNDAS MULTITALADRO PORTADOCUMENTOS ESSELTE 80 MICRAS A4,4.53,2019-03-29,1,4.53
AMIDATA S.A,136-7104,,,ROLLO,"Manguera de aire Festo, Azul, 50m, Poliuretano",67.0,2019-03-19,1,67.0
AMIDATA S.A,126-3111,,,ROLLO,"Manguera de aire Festo, Natural, 50m, Poliuretano, -35 → +60°C Codigo RS",67.0,2019-03-19,1,67.0
AMIDATA S.A,181-6076,,,M,"Manguera de aire Festo, Amarillo, 50m, Poliuretano Codigo RS",1.34,2019-03-19,50,67.0
"VWR INTERNATIONAL EUROLAB,S.L.",113-8052,,,U,DISPENSER 1 COMPARTMENT GD-2060,417.5,2019-03-18,1,417.5
AMIDATA S.A,815-8306,,,U,"Voltimetro digital, Trumeter, LCD, Display analogico simulado, 4 Digitos, -10°C a +60°C, 68 x 68 mm",72.62,2019-03-13,1,72.62
FISCAL SOLUTION S.A.R.L. (MOUSER ELECTRONICS),576-83500000005,,,U,Accesorios de portafusibles FLUSH MNT CAP FOR 820-4 / 830-4 HOLDER,1.62,2019-03-13,11,17.82
FISCAL SOLUTION S.A.R.L. (MOUSER ELECTRONICS),706-50A36-01-2-03N,,,U,"Conmutadores giratorio Rotary Switch, Standard, 1/8",16.31,2019-03-13,2,32.62
"BIELEC, S.L.",DOS545,,,U,ADAPTADOR PARA JERINGA 3 cc.,90.45,2019-03-06,1,90.45
"BIELEC, S.L.",DOS517,,,U,SINU ADAPTADOR JERINGA 5cc,60.2,2019-03-06,1,60.2
"BIELEC, S.L.",DOS515,,,U,SINU ADAPTADOR JERINGA 10cc,60.2,2019-03-06,1,60.2
"ONDA RADIO, S.A.",TR4124,,,U,TRansformador PCB 220-24 2.4VA,3.61,2019-03-04,6,21.66
AMIDATA S.A,718-2364,,,U,"Mando para interruptor giratorio para usar con Ejes de 6,35 mm Codigo RS",2.24,2019-02-22,6,13.440000000000001
AMIDATA S.A,765-2973,,,U,"Portafusibles Cooper Bussmann, tamano 5 x 20mm, 6.3A, Montaje en PCB Codigo RS",2.108,2019-02-22,5,10.540000000000001
AMIDATA S.A,714-0792,,,U,"Regulador de tension lineal, LM317T, Ajustable 1.5A 1,2 → 37 V TO- 220 3 pines Codigo RS",0.428,2019-02-22,10,4.28
AMIDATA S.A,522-5068,,,U,"Potenciometro - Giratorio, con 6 mm de diametro , Montaje en Panel, 5kΩ, ±10%, 1W, Serie 53, ±150ppm/°C 1 Codigo RS",8.44,2019-02-22,5,42.199999999999996
